gene	p-value Repl. 1	p-value Repl. 2	Fisher Statistic	p-value combined	significant
GALNT16	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
GCLC	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
GLB1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
GTF2B	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
HAUS2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
HCFC2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
HCRTR1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
HNRNPH3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
IQCG	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
JMY	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
KCNAB1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
KCNK5	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
KDM2B	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
KDM6A	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
KIAA1045	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
KLHDC10	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
KRT74	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
LOC730159	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
LRIG1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
LRRIQ3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
LUZP2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
MAGOHB	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
MEN1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
MGMT	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
MPDZ	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
MRAP	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
MTF2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
NOP16	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
NUP43	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
NonTargetingControlGuideForHuman_0314	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
OPRL1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
OR1L6	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
OR2L2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
OR5K4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ORC4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
OTUD6A	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PAK2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PANX2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PCDHAC1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PECAM1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PGC	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PHIP	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PIAS3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PIH1D2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PIWIL3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PLA2G4C	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PPP3CA	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PRLH	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PSMD5	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
PTPRJ	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
RAB15	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
RAB18	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
RAB44	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
RECQL4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
RNF130	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
RP1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
RPL26	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SBSPON	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SERPINE1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SH2B3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SHROOM4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SLC10A6	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SLC15A4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SLC35G6	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SLC4A4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SMIM1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SPATA19	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SRPK1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SRSF10	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ST3GAL6	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
STAG1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SULF2	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
SUPT16H	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
TAAR5	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
TDRD9	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
TJP3	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
TMA16	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
TRPC5	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
USP17L4	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ZNF124	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ZNF253	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ZNF296	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ZNF317	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ZNF44	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ZNF784	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
hsa-mir-4472-1	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
hsa-mir-520c	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
hsa-mir-590	0.806237458194	0.359262295082	2.47815899405	0.648550987581	False
ADCY9	0.823395953757	0.359262295082	2.43604122806	0.656124034341	False
CLEC1A	0.823395953757	0.359262295082	2.43604122806	0.656124034341	False
FAM122C	0.823395953757	0.359262295082	2.43604122806	0.656124034341	False
TMEM48	0.849418604651	0.359262295082	2.37381137672	0.667365056732	False
AMDHD2	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
C1orf123	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
CCS	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
FEZF2	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
FLYWCH2	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
FOXRED2	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
HDHD2	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
MAGEB2	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
OC90	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
PROC	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
TYMS	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
ZDHHC7	0.875141430948	0.359262295082	2.31414460124	0.67819500479	False
LPGAT1	0.942580645161	0.359262295082	2.16567265693	0.705318542994	False
ADAP1	0.994946236559	0.359262295082	2.05753821439	0.725176758379	False
C7orf69	1.0	0.359262295082	2.0474050606	0.7270400156	False
CHST10	1.0	0.359262295082	2.0474050606	0.7270400156	False
COTL1	1.0	0.359262295082	2.0474050606	0.7270400156	False
DDX11	1.0	0.359262295082	2.0474050606	0.7270400156	False
MANSC1	1.0	0.359262295082	2.0474050606	0.7270400156	False
NRM	1.0	0.359262295082	2.0474050606	0.7270400156	False
OAS2	1.0	0.359262295082	2.0474050606	0.7270400156	False
OR10J3	1.0	0.359262295082	2.0474050606	0.7270400156	False
RPS19	1.0	0.359262295082	2.0474050606	0.7270400156	False
SESN3	1.0	0.359262295082	2.0474050606	0.7270400156	False
SMCO2	1.0	0.359262295082	2.0474050606	0.7270400156	False
ABL1	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
ADAM28	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
KPNA4	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
LDHAL6B	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
LRRC29	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
MAP2K4	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
PCGF1	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
PLK4	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
RNPC3	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
YTHDF1	0.806237458194	0.454196891192	2.00920292127	0.734066105536	False
CSGALNACT2	0.806237458194	0.559056122449	1.59376475929	0.809912365655	False
NCKAP1L	0.806237458194	0.559056122449	1.59376475929	0.809912365655	False
SLC12A4	0.806237458194	0.559056122449	1.59376475929	0.809912365655	False
ADCK5	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
FAM46C	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
FAM71B	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
GPAA1	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
NKD1	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
NUP107	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
RAB11FIP2	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
RNF224	0.806237458194	0.641414634146	1.31891228552	0.858158710853	False
NXNL1	0.823395953757	0.641414634146	1.27679451953	0.86530020331	False
CHST2	0.806237458194	0.741086956522	1.03002855412	0.905209007583	False
FAM78A	0.806237458194	0.741086956522	1.03002855412	0.905209007583	False
AP5Z1	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
CLU	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
FOXJ3	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
NonTargetingControlGuideForHuman_0571	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
PMCH	0.806237458194	0.786188340807	0.911871725263	0.922851483031	False
